Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.471678138	0.00029259	-2.68074e-005	0	1	11:19:14.390	
0.471690685	-0.000365721	1.76061e-006	1	0	11:19:15.375	
0.471702188	0.000266774	6.52186e-006	0	0	11:19:16.468	
0.471714854	4.73366e-005	-2.54848e-005	0	1	11:19:17.562	
0.47172752	-0.000314089	-5.11693e-006	1	1	11:19:18.656	
0.471740067	9.89686e-005	-4.32075e-005	0	1	11:19:19.640	
0.471751571	-0.000365721	-4.4001e-005	1	1	11:19:20.734	
0.471764237	-4.302e-005	2.55416e-006	1	0	11:19:21.828	
0.471776903	6.02445e-005	-2.9717e-005	0	1	11:19:22.921	
0.471789539	-0.0001721	-2.7072e-005	1	1	11:19:24.015	
0.471800953	0.000150601	-2.91881e-005	0	1	11:19:25.000	
0.471813589	-0.000326997	-1.96655e-005	1	1	11:19:26.093	
0.471826255	-6.88358e-005	8.63805e-006	1	0	11:19:27.187	
0.471838921	-0.0001721	5.99287e-006	1	0	11:19:28.281	
0.471850306	-0.000365721	1.3664e-005	1	0	11:19:29.265	
0.471862972	0.00035713	2.13349e-005	0	0	11:19:30.359	
0.471875638	-0.000417353	-2.28396e-005	1	1	11:19:31.453	
0.471888304	-0.000210824	-8.2911e-006	1	1	11:19:32.546	
0.471899688	0.000150601	-2.60138e-005	0	1	11:19:33.531	
0.471912324	-0.000430261	-2.44267e-005	1	1	11:19:34.625	
